Survived,Pclass,Sex,Age,Fare,Embarked,Title,FamilySize,IsAlone
0,3,1,9.0,31.275,Southampton,Miss,7,0
0,3,1,11.0,31.275,Southampton,Miss,7,0
1,2,0,32.0,26.0,Southampton,Mr,2,0
0,1,0,50.0,106.425,S,Mr,2,0
1,2,1,19.0,26.0,Southampton,Mrs,2,0
1,2,0,28.0,13.8625,Cherbourg,Mr,1,1
0,3,0,33.0,20.525,Southampton,Mr,3,0
1,2,1,8.0,36.75,Southampton,Master,3,0
1,1,0,17.0,110.8833,Cherbourg,Mr,3,0
0,2,0,27.0,26.0,Southampton,Mr,1,1
0,3,0,28.0,7.8292,Queenstown,Mr,1,1
1,3,0,22.0,7.225,Cherbourg,Mr,1,1
1,3,1,22.0,7.775,Southampton,Miss,1,1
1,1,1,48.0,39.6,Cherbourg,Royalty,2,0
0,1,0,28.0,227.525,Cherbourg,Mr,1,1
1,1,1,39.0,79.65,Southampton,Mrs,3,0
1,3,1,36.0,17.4,C,Mrs,2,0
0,3,0,28.0,7.75,Queenstown,Mr,1,1
0,3,0,40.0,7.8958,C,Mr,1,1
0,2,0,28.0,13.5,Southampton,Mr,1,1
0,3,0,28.0,8.05,Southampton,Mr,1,1
0,3,1,28.0,8.05,Southampton,Miss,1,1
0,3,0,24.0,24.15,Southampton,Mr,3,0
0,3,0,19.0,7.8958,Southampton,Mr,1,1
0,3,1,29.0,21.075,Southampton,Mrs,5,0
0,3,0,28.0,7.2292,Cherbourg,Mr,1,1
1,3,0,32.0,7.8542,Southampton,Mr,1,1
1,1,1,53.0,51.4792,Southampton,Mrs,3,0
1,1,0,36.0,26.3875,Southampton,Mr,1,1
1,3,1,28.0,7.75,Queenstown,Miss,1,1
0,3,0,16.0,8.05,Southampton,Mr,1,1
0,3,0,19.0,14.5,Southampton,Mr,1,1
1,2,1,34.0,13.0,Southampton,Miss,1,1
1,3,1,39.0,55.9,C,Mrs,2,0
0,3,1,28.0,14.4583,Cherbourg,Mrs,2,0
1,3,0,32.0,7.925,Southampton,Mr,1,1
1,2,1,25.0,30.0,Southampton,Miss,3,0
1,1,1,39.0,110.8833,Cherbourg,Mrs,3,0
0,2,0,54.0,26.0,Southampton,Mr,1,1
0,1,0,36.0,40.125,Cherbourg,Mr,1,1
0,3,0,28.0,8.7125,Cherbourg,Mr,1,1
1,1,1,18.0,79.65,Southampton,Miss,3,0
0,2,0,47.0,15.0,Southampton,Mr,1,1
0,3,0,22.0,8.05,Southampton,Mr,1,1
0,3,0,28.0,8.05,Southampton,Mr,1,1
0,3,0,35.0,7.125,C,Mr,1,1
1,1,1,52.0,78.2667,Cherbourg,Mrs,2,0
0,3,0,47.0,7.25,Southampton,Mr,1,1
0,3,1,28.0,7.75,Queenstown,Miss,3,0
0,2,0,37.0,26.0,Southampton,Mr,2,0
0,3,0,36.0,24.15,Southampton,Mr,3,0
1,2,1,28.0,33.0,Southampton,Miss,1,1
0,3,0,49.0,0.0,Southampton,Mr,1,1
0,3,0,28.0,7.225,Cherbourg,Mr,1,1
1,1,1,49.0,56.9292,Cherbourg,Royalty,2,0
1,2,1,24.0,27.0,Southampton,Mrs,4,0
0,3,0,28.0,7.8958,Southampton,Mr,1,1
0,1,0,28.0,42.4,Southampton,Mr,1,1
0,3,0,44.0,8.05,Southampton,Mr,1,1
1,1,0,35.0,26.55,Cherbourg,Mr,1,1
0,3,0,36.0,15.55,Southampton,Mr,2,0
0,3,0,30.0,7.8958,Southampton,Mr,1,1
1,3,0,27.0,30.5,Southampton,Mr,1,1
1,2,1,22.0,41.5792,Cherbourg,Mrs,4,0
1,1,1,40.0,153.4625,Southampton,Miss,1,1
0,3,1,39.0,31.275,Southampton,Mrs,7,0
0,3,0,28.0,7.05,Southampton,Mr,1,1
1,3,1,28.0,15.5,Queenstown,Miss,2,0
0,3,0,28.0,7.75,Queenstown,Mr,1,1
0,3,0,35.0,8.05,C,Mr,1,1
1,2,1,24.0,65.0,Southampton,Miss,4,0
0,3,0,34.0,14.4,Southampton,Mr,3,0
0,3,1,26.0,16.1,Southampton,Mrs,2,0
1,2,1,4.0,39.0,S,Miss,4,0
0,2,0,26.0,10.5,Southampton,Mr,1,1
0,3,0,27.0,14.4542,Cherbourg,Mr,2,0
1,1,0,42.0,52.5542,Southampton,Mr,2,0
1,3,0,20.0,15.7417,Cherbourg,Mr,3,0
0,3,0,21.0,7.8542,Southampton,Mr,1,1
0,3,0,21.0,16.1,Southampton,Mr,1,1
1,1,1,21.0,77.9583,Southampton,Miss,1,1
0,3,0,26.0,7.8958,Southampton,Mr,1,1
0,3,0,28.0,7.7333,Queenstown,Mr,1,1
0,3,0,51.0,7.0542,Southampton,Mr,1,1
1,1,0,32.0,30.5,Cherbourg,Officer,1,1
0,1,0,28.0,0.0,Southampton,Mr,1,1
0,3,1,9.0,27.9,Southampton,Miss,6,0
1,2,1,28.0,13.0,Southampton,Miss,1,1
0,3,0,32.0,7.925,Southampton,Mr,1,1
0,2,0,31.0,26.25,Southampton,Mr,3,0
0,3,0,41.0,39.6875,Southampton,Mrs,6,0
0,3,0,28.0,16.1,Southampton,Mr,2,0
0,3,0,20.0,7.8542,Southampton,Mr,1,1
1,1,1,24.0,69.3,Cherbourg,Miss,1,1
1,3,0,28.0,56.4958,Southampton,Mr,1,1
1,1,0,48.0,76.7292,Cherbourg,Mr,2,0
0,3,0,19.0,7.8958,Southampton,Mr,1,1
0,3,0,28.0,7.55,Southampton,Mr,1,1
1,3,1,23.0,7.55,Southampton,Miss,1,1
0,3,0,28.0,7.8958,Southampton,Mr,1,1
1,2,1,18.0,23.0,Southampton,Miss,2,0
0,3,0,21.0,8.4333,Southampton,Mr,1,1
1,3,1,28.0,7.8292,Queenstown,Miss,1,1
0,3,1,18.0,6.75,Queenstown,Miss,1,1
0,2,0,24.0,73.5,Southampton,Mr,3,0
0,3,0,28.0,7.8958,Southampton,Mr,1,1
0,3,1,32.0,15.5,Queenstown,Mrs,3,0
0,2,0,23.0,13.0,Southampton,Mr,1,1
1,1,0,50.0,133.65,Southampton,Officer,3,0
0,3,0,40.0,7.225,Cherbourg,Mr,1,1
0,1,0,47.0,25.5875,Southampton,Mr,1,1
0,3,0,36.0,7.4958,Southampton,Mr,1,1
1,3,0,20.0,7.925,Southampton,Mr,2,0
0,2,0,32.0,73.5,Southampton,Mr,3,0
0,2,0,25.0,13.0,Southampton,Mr,1,1
0,3,0,28.0,7.775,Southampton,Mr,1,1
0,3,0,43.0,8.05,Southampton,Mr,1,1
1,1,0,28.0,52.0,Southampton,Mrs,2,0
1,2,1,40.0,39.0,Southampton,Mrs,3,0
0,1,1,31.0,52.0,Southampton,Mr,2,0
1,2,0,31.0,13.0,Southampton,Mr,1,1
0,2,0,28.0,0.0,Southampton,Mr,1,1
0,3,0,18.0,7.775,Southampton,Mr,1,1
0,3,0,24.5,8.05,Southampton,Mr,1,1
1,3,1,18.0,9.8417,Southampton,Miss,1,1
0,3,1,43.0,46.9,Southampton,Mrs,8,0
1,1,0,36.0,512.3292,Cherbourg,Mr,2,0
0,3,1,28.0,8.1375,C,Miss,1,1
1,1,0,27.0,76.7292,Cherbourg,Mr,1,1
0,3,0,20.0,9.225,S,Mr,1,1
0,3,0,14.0,46.9,Southampton,Mr,8,0
0,2,0,25.0,41.5792,Cherbourg,Mr,4,0
0,3,0,14.0,39.6875,Southampton,Mr,6,0
0,3,0,19.0,10.1708,Southampton,Mr,1,1
0,3,0,18.0,7.7958,Southampton,Mr,1,1
1,1,1,15.0,211.3375,Southampton,Miss,2,0
1,1,0,31.0,57.0,Southampton,Mr,2,0
1,3,1,4.0,13.4167,Cherbourg,Miss,2,0
1,3,0,28.0,56.4958,Southampton,Mr,1,1
0,3,0,25.0,7.225,Cherbourg,Mr,1,1
0,2,0,52.0,13.5,Southampton,Mr,1,1
0,3,0,44.0,8.05,Southampton,Mr,1,1
1,3,1,28.0,7.7333,Queenstown,Miss,1,1
0,1,0,49.0,110.8833,Cherbourg,Mr,3,0
0,3,0,42.0,7.65,Southampton,Mr,1,1
1,1,1,18.0,227.525,Cherbourg,Mrs,2,0
1,1,0,35.0,26.2875,Southampton,Mr,1,1
0,3,1,18.0,14.4542,Cherbourg,Miss,2,0
0,3,0,25.0,7.7417,Queenstown,Mr,1,1
0,3,0,26.0,7.8542,Southampton,Mr,2,0
0,2,0,39.0,26.0,Southampton,Mr,1,1
1,2,1,45.0,13.5,Southampton,Mrs,1,1
1,1,0,42.0,26.2875,Southampton,Mr,1,1
1,1,1,22.0,151.55,Southampton,Miss,1,1
1,3,0,28.0,15.2458,Cherbourg,Master,3,0
1,1,1,24.0,49.5042,Cherbourg,Miss,1,1
0,1,0,28.0,26.55,Southampton,Mr,1,1
1,1,0,48.0,52.0,Southampton,Mr,2,0
0,3,0,29.0,9.4833,Southampton,Mr,1,1
0,2,0,52.0,13.0,Southampton,Mr,1,1
0,3,0,19.0,7.65,Southampton,Mr,1,1
1,1,1,38.0,227.525,Cherbourg,Miss,1,1
1,2,1,27.0,10.5,Southampton,Miss,1,1
0,3,0,28.0,15.5,Queenstown,Mr,1,1
0,3,0,33.0,7.775,Southampton,Mr,1,1
1,2,1,6.0,33.0,Southampton,Miss,2,0
0,3,0,17.0,7.0542,Southampton,Mr,2,0
0,2,0,34.0,13.0,Southampton,Mr,1,1
0,2,0,50.0,13.0,C,Mr,1,1
1,1,0,27.0,53.1,Southampton,Mr,2,0
0,3,0,20.0,8.6625,Southampton,Mr,1,1
1,2,0,30.0,21.0,Southampton,Mrs,4,0
1,3,1,28.0,7.7375,Queenstown,Miss,1,1
0,2,0,28.0,14.75,C,Mr,2,0
0,3,1,25.0,7.925,Southampton,Miss,2,0
1,1,1,29.0,211.3375,Southampton,Miss,1,1
0,3,0,11.0,18.7875,Cherbourg,Mr,1,1
0,2,0,28.0,0.0,Southampton,Mr,1,1
0,3,0,23.0,13.0,Southampton,Mr,1,1
0,2,0,23.0,13.0,Southampton,Mr,1,1
0,3,0,28.5,16.1,Southampton,Mr,1,1
0,3,1,28.0,8.05,Southampton,Mrs,5,0
1,1,0,28.0,59.4,Cherbourg,Mr,1,1
0,3,0,28.0,7.8958,Southampton,Mr,1,1
0,3,0,28.0,7.8958,Southampton,Mr,1,1
1,1,0,28.0,30.0,Southampton,Mr,1,1
0,1,0,36.0,78.85,Southampton,Mr,2,0
1,1,1,21.0,262.375,Cherbourg,Miss,5,0
0,3,0,24.0,16.1,Southampton,Mr,2,0
1,3,0,31.0,7.925,Southampton,Mr,1,1
0,3,0,16.0,20.25,Southampton,Mr,3,0
1,2,1,30.0,13.0,Southampton,Miss,1,1
0,1,0,19.0,53.1,Southampton,Mr,2,0
0,3,0,31.0,7.75,Queenstown,Mr,1,1
1,2,1,4.0,23.0,Southampton,Miss,3,0
1,3,0,6.0,12.475,Southampton,Master,2,0
0,3,0,33.0,9.5,Southampton,Mr,1,1
0,3,0,23.0,7.8958,Southampton,Mr,1,1
1,2,1,48.0,65.0,Southampton,Mrs,4,0
0,3,0,28.0,7.7958,Southampton,Mr,1,1
0,2,0,18.0,11.5,Southampton,Mr,1,1
0,3,0,34.0,8.05,S,Mr,1,1
1,1,1,33.0,86.5,Southampton,Royalty,1,1
0,3,0,28.0,14.5,Southampton,Mr,1,1
0,3,0,41.0,7.125,Southampton,Mr,1,1
1,3,0,20.0,7.2292,Cherbourg,Mr,1,1
1,1,1,36.0,120.0,Southampton,Mrs,4,0
0,3,0,16.0,7.775,Southampton,Mr,1,1
1,1,1,51.0,77.9583,Southampton,Mrs,2,0
0,1,0,28.0,39.6,Cherbourg,Officer,1,1
0,3,1,30.5,7.75,Queenstown,Miss,1,1
0,3,0,28.0,24.15,Queenstown,Mr,2,0
0,3,0,32.0,8.3625,Southampton,Mr,1,1
0,3,0,24.0,9.5,S,Mr,1,1
0,3,0,48.0,7.8542,Southampton,Mr,1,1
0,3,0,28.0,7.225,Cherbourg,Mr,1,1
1,2,1,54.0,23.0,C,Mrs,5,0
0,3,0,18.0,7.75,Southampton,Mr,1,1
0,3,0,28.0,7.75,Queenstown,Mr,1,1
1,3,1,5.0,12.475,Southampton,Miss,1,1
0,3,0,28.0,7.7375,Queenstown,Mr,1,1
1,1,1,43.0,211.3375,Southampton,Mrs,2,0
1,3,1,13.0,7.2292,Cherbourg,Miss,1,1
1,1,1,17.0,57.0,Southampton,Mrs,2,0
0,1,0,29.0,30.0,C,Mr,1,1
0,3,0,28.0,23.45,Southampton,Mr,4,0
0,3,0,25.0,7.05,Southampton,Mr,1,1
0,3,0,25.0,7.25,Southampton,Mr,1,1
1,3,1,28.0,8.05,C,Miss,1,1
0,3,0,8.0,29.125,C,Master,6,0
0,1,0,46.0,79.2,Cherbourg,Mr,1,1
0,3,0,28.0,7.75,Queenstown,Mr,1,1
0,2,1,16.0,26.0,Southampton,Mr,1,1
0,3,1,28.0,69.55,C,Miss,11,0
0,1,0,28.0,30.6958,Cherbourg,Mr,1,1
0,3,0,25.0,7.8958,Southampton,Mr,1,1
0,2,0,39.0,13.0,Southampton,Mr,1,1
1,1,1,49.0,25.9292,Southampton,Officer,1,1
1,3,0,31.0,8.6833,Southampton,Mrs,1,1
0,3,0,30.0,7.2292,Cherbourg,Mr,1,1
0,3,1,30.0,24.15,Southampton,Mrs,3,0
0,2,0,34.0,13.0,Southampton,Mr,1,1
1,2,1,31.0,26.25,Cherbourg,Mrs,3,0
1,1,0,11.0,120.0,Southampton,Master,4,0
1,3,0,27.0,6.975,Southampton,Mr,1,1
0,3,0,31.0,7.775,Southampton,Mr,1,1
0,1,0,39.0,0.0,Southampton,Mr,1,1
0,3,0,18.0,7.775,Southampton,Miss,1,1
0,2,0,39.0,13.0,Southampton,Mr,1,1
1,1,1,33.0,53.1,Southampton,Mrs,2,0
0,3,0,26.0,7.8875,Southampton,Mr,1,1
0,3,0,39.0,24.15,Southampton,Mr,1,1
0,2,0,35.0,10.5,Southampton,Mr,1,1
0,3,1,6.0,31.275,Southampton,Miss,7,0
0,3,0,30.5,8.05,Southampton,Mr,1,1
0,1,0,28.0,0.0,S,Mr,1,1
0,3,1,23.0,7.925,Southampton,Miss,1,1
0,2,0,31.0,37.0042,Cherbourg,Mr,3,0
0,3,0,43.0,6.45,Southampton,Mr,1,1
0,3,0,10.0,27.9,Southampton,Master,6,0
1,1,1,52.0,93.5,Southampton,Mrs,3,0
1,3,0,27.0,8.6625,Southampton,Mr,1,1
0,1,0,38.0,0.0,S,Jonkheer,1,1
1,3,1,27.0,12.475,Southampton,Mrs,2,0
0,3,0,28.0,6.95,Queenstown,Mr,1,1
0,3,0,28.0,56.4958,Southampton,Mr,1,1
1,3,0,28.0,7.75,Queenstown,Mr,1,1
1,3,0,15.0,14.4542,Cherbourg,Mrs,2,0
0,3,0,28.0,7.2292,Cherbourg,Mr,1,1
0,3,0,23.0,7.8542,Southampton,Mr,1,1
0,3,0,18.0,8.3,Southampton,Mr,1,1
1,1,1,39.0,83.1583,Cherbourg,Miss,3,0
0,3,0,21.0,8.6625,Southampton,Mr,1,1
0,3,0,28.0,8.05,Southampton,Mr,1,1
1,3,0,28.0,8.05,Southampton,Mr,1,1
1,1,0,28.0,29.7,Cherbourg,Mr,1,1
0,3,0,20.0,7.925,Southampton,Mr,1,1
0,2,0,16.0,10.5,Southampton,Mr,1,1
1,1,1,30.0,31.0,Cherbourg,Miss,1,1
0,3,0,34.5,6.4375,Cherbourg,Mr,1,1
0,3,0,17.0,8.6625,Southampton,Mr,1,1
0,3,0,42.0,7.55,Southampton,Mr,1,1
0,3,0,28.0,69.55,Southampton,Mr,11,0
0,3,0,35.0,7.8958,Cherbourg,Mr,1,1
0,2,0,28.0,33.0,Southampton,Officer,2,0
1,1,1,28.0,89.1042,Cherbourg,Mrs,2,0
0,3,0,4.0,31.275,Southampton,Master,7,0
0,3,1,9.0,15.2458,Cherbourg,Miss,3,0
1,1,1,16.0,39.4,Southampton,Miss,2,0
0,2,1,44.0,26.0,Southampton,Mrs,2,0
1,3,1,18.0,9.35,Southampton,Mrs,2,0
1,1,1,45.0,164.8667,Southampton,Mrs,3,0
1,1,0,51.0,26.55,Southampton,Mr,1,1
1,3,1,24.0,19.2583,Cherbourg,Mrs,4,0
0,3,0,28.0,7.2292,Cherbourg,Mr,1,1
0,3,0,41.0,14.1083,Southampton,Mr,3,0
0,2,0,21.0,11.5,Southampton,Mr,2,0
1,1,1,48.0,25.9292,Southampton,Mrs,1,1
0,3,1,28.0,69.55,Southampton,Miss,11,0
0,2,0,24.0,13.0,Southampton,Mr,1,1
1,2,1,42.0,13.0,Southampton,Mrs,1,1
1,2,1,28.0,14.75,Cherbourg,Miss,2,0
0,1,0,31.0,50.4958,Southampton,Mr,1,1
0,3,0,28.0,9.5,Southampton,Mr,1,1
1,3,0,4.0,11.1333,Southampton,Master,3,0
0,3,0,26.0,7.8958,Southampton,Mr,1,1
1,1,1,47.0,52.5542,Southampton,Mrs,3,0
0,1,0,33.0,5.0,Southampton,Mr,1,1
0,3,0,47.0,9.0,Southampton,Mr,1,1
1,2,1,28.0,24.0,Cherbourg,Mrs,2,0
1,3,1,15.0,7.225,Cherbourg,Miss,1,1
0,3,0,20.0,9.8458,Southampton,Mr,1,1
0,3,0,19.0,7.8958,Southampton,Mr,1,1
0,3,0,28.0,7.8958,Southampton,Mr,1,1
1,2,1,25.0,26.0,Southampton,Mrs,2,0
0,3,0,33.0,7.8958,Southampton,Mr,1,1
0,3,0,22.0,10.5167,Southampton,Miss,1,1
0,2,0,28.0,10.5,Southampton,Mr,1,1
0,3,0,25.0,7.05,C,Mr,1,1
0,3,1,39.0,29.125,Queenstown,Mrs,6,0
0,2,0,27.0,13.0,Southampton,Officer,1,1
1,1,1,19.0,30.0,Southampton,Miss,1,1
0,3,1,28.0,23.45,Southampton,Miss,4,0
1,1,0,26.0,30.0,Cherbourg,Mr,1,1
0,3,0,32.0,7.75,C,Mr,1,1
1,3,0,28.0,15.2458,Cherbourg,Master,3,0
0,2,0,31.0,10.5,Southampton,Mr,1,1
0,3,0,20.0,7.925,Southampton,Mr,1,1
1,2,1,6.0,33.0,Southampton,Miss,2,0
1,3,1,14.0,11.2417,Cherbourg,Miss,2,0
1,1,1,26.0,78.85,Southampton,Miss,1,1
1,3,1,28.0,7.75,Queenstown,Miss,1,1
0,3,0,16.0,18.0,Southampton,Mr,3,0
1,3,1,16.0,7.75,Queenstown,Miss,1,1
1,3,1,19.0,26.2833,Southampton,Miss,3,0
0,1,0,37.0,53.1,Southampton,Mr,2,0
0,3,0,44.0,8.05,Southampton,Mr,1,1
0,3,1,28.0,25.4667,Southampton,Miss,5,0
0,3,0,28.0,8.05,Cherbourg,Mr,1,1
0,2,0,36.0,13.0,Southampton,Mr,1,1
1,1,1,16.0,39.4,Southampton,Miss,2,0
1,1,0,28.0,59.4,Southampton,Mr,2,0
1,3,1,28.0,7.8292,Queenstown,Miss,1,1
